Accession No.	Order	Family	Subfamily	Genus
MG983742.1	Caudovirales	Siphoviridae	unassigned	unassigned
MK524531.1	Caudovirales	Siphoviridae	unassigned	Fromanvirus
MF919536.1	Caudovirales	Siphoviridae	unassigned	Fromanvirus
KY271402.1	Caudovirales	Siphoviridae	unassigned	unassigned
KX712238.1	Caudovirales	Siphoviridae	unassigned	Fromanvirus
MH153808.1	Caudovirales	Siphoviridae	unassigned	unassigned
MK305893.1	Caudovirales	Siphoviridae	unassigned	Fromanvirus
KU052037.1	Caudovirales	Podoviridae	unassigned	unassigned
MH536812.1	Caudovirales	Siphoviridae	unassigned	unassigned
MK460245.1	Caudovirales	Siphoviridae	Arquatrovirinae	Arequatrovirus
MK801724.1	Caudovirales	Siphoviridae	unassigned	unassigned
MG812495.1	Caudovirales	Siphoviridae	unassigned	Fromanvirus
MH115576.1	Caudovirales	Siphoviridae	unassigned	Vieuvirus
MK501729.1	Caudovirales	Siphoviridae	unassigned	unassigned
MK524525.1	Caudovirales	Siphoviridae	unassigned	Fromanvirus
MH552532.1	Caudovirales	Siphoviridae	unassigned	unassigned
MK557849.1	Caudovirales	unassigned	unassigned	unassigned
MK448237.1	Caudovirales	Siphoviridae	unassigned	unassigned
MG214783.2	Caudovirales	Siphoviridae	unassigned	unassigned
MK433274.1	Caudovirales	Siphoviridae	unassigned	unassigned
MK672805.1	Caudovirales	Myoviridae	unassigned	unassigned
MH673674.1	Caudovirales	Myoviridae	unassigned	unassigned
MH102284.1	Caudovirales	Siphoviridae	Tunavirinae	Tlsvirus
MH552475.1	Caudovirales	Siphoviridae	unassigned	unassigned
MK967384.1	Caudovirales	Siphoviridae	Nymbaxtervirinae	Baxtervirus
MK373798.1	Caudovirales	Siphoviridae	Tunavirinae	Hanrivervirus
KY709687.1	Caudovirales	Siphoviridae	unassigned	unassigned
MK359300.1	Caudovirales	Siphoviridae	unassigned	Fromanvirus
MK359299.1	Caudovirales	Siphoviridae	unassigned	Fromanvirus
MG944221.1	Caudovirales	Siphoviridae	unassigned	Fromanvirus
MH399782.1	Caudovirales	Siphoviridae	unassigned	Fromanvirus
MK919469.1	Caudovirales	Siphoviridae	Nymbaxtervirinae	Nymphadoravirus
MH155876.1	Caudovirales	Siphoviridae	unassigned	Fromanvirus
MK112547.1	Caudovirales	Siphoviridae	Nymbaxtervirinae	Nymphadoravirus
KX965989.1	Caudovirales	Myoviridae	unassigned	unassigned
KX641260.1	Caudovirales	Siphoviridae	unassigned	Fromanvirus
MF919498.1	Caudovirales	Siphoviridae	unassigned	Fromanvirus
MK433276.1	Caudovirales	Siphoviridae	Arquatrovirinae	Likavirus
MN096267.1	Caudovirales	Siphoviridae	unassigned	Detrevirus
MH338238.1	Caudovirales	Siphoviridae	unassigned	Fromanvirus
AP018486.1	Caudovirales	Siphoviridae	unassigned	Fromanvirus
MN096365.1	Caudovirales	Siphoviridae	unassigned	unassigned
MH576959.1	Caudovirales	Siphoviridae	unassigned	Fromanvirus
MH910036.1	Caudovirales	Siphoviridae	unassigned	unassigned
MG757163.1	Caudovirales	Siphoviridae	Arquatrovirinae	Likavirus
MH371110.1	Caudovirales	Siphoviridae	unassigned	Fromanvirus
MG592472.1	Caudovirales	Myoviridae	unassigned	unassigned
MH536826.1	Caudovirales	Siphoviridae	unassigned	unassigned
KX579975.1	Caudovirales	Siphoviridae	unassigned	Fromanvirus
MK967401.1	Caudovirales	Siphoviridae	unassigned	Fromanvirus
MN096372.1	Caudovirales	Siphoviridae	unassigned	Fromanvirus
MK095606.1	Caudovirales	Siphoviridae	Tunavirinae	Eclunavirus
AP018476.1	Caudovirales	Siphoviridae	unassigned	Fromanvirus
KY204245.1	Caudovirales	Siphoviridae	unassigned	Fromanvirus
KX237515.1	Caudovirales	Siphoviridae	Tunavirinae	Webervirus
MH727563.1	Caudovirales	Siphoviridae	unassigned	Fromanvirus
MF919508.1	Caudovirales	Siphoviridae	unassigned	Fromanvirus
MK552105.1	Caudovirales	Siphoviridae	Tunavirinae	unassigned
MH651167.1	Caudovirales	Siphoviridae	unassigned	unassigned
MF919521.1	Caudovirales	Siphoviridae	unassigned	unassigned
MG099951.1	Caudovirales	Siphoviridae	unassigned	Fromanvirus
MF417880.1	Caudovirales	unassigned	unassigned	unassigned
MK878896.1	Caudovirales	Siphoviridae	unassigned	unassigned
KY224001.1	Caudovirales	Siphoviridae	unassigned	Fromanvirus
MG592461.1	Caudovirales	Myoviridae	unassigned	unassigned
MG770216.1	Caudovirales	Siphoviridae	unassigned	Trigintaduovirus
MH697581.1	Caudovirales	Siphoviridae	unassigned	Fromanvirus
KY619305.1	Caudovirales	Siphoviridae	Tunavirinae	unassigned
MF668275.1	Caudovirales	Siphoviridae	unassigned	unassigned
MF893271.1	Caudovirales	Myoviridae	unassigned	unassigned
KX190833.1	Caudovirales	Siphoviridae	unassigned	unassigned
MK801721.1	Caudovirales	Siphoviridae	unassigned	unassigned
KX683423.1	Caudovirales	Siphoviridae	unassigned	Fromanvirus
MG872834.1	Caudovirales	Siphoviridae	unassigned	unassigned
KX228400.1	Caudovirales	Myoviridae	unassigned	Lubbockvirus
MF766045.1	Caudovirales	Siphoviridae	Arquatrovirinae	Arequatrovirus
KX828710.1	Caudovirales	Siphoviridae	Tunavirinae	Tunavirus
LT986460.2	Caudovirales	Podoviridae	unassigned	unassigned
MH669004.1	Caudovirales	Siphoviridae	Arquatrovirinae	Arequatrovirus
MH590595.1	Caudovirales	Siphoviridae	unassigned	Fromanvirus
MK433275.1	Caudovirales	Siphoviridae	unassigned	unassigned
KY780482.1	Caudovirales	Siphoviridae	Tunavirinae	Webervirus
MK483107.1	Caudovirales	Podoviridae	unassigned	unassigned
MF141539.1	Caudovirales	Siphoviridae	unassigned	Fromanvirus
MN096355.1	Caudovirales	Siphoviridae	unassigned	unassigned
MG592572.1	Caudovirales	Myoviridae	unassigned	unassigned
MH338239.1	Caudovirales	Siphoviridae	unassigned	Fromanvirus
MH884513.1	Caudovirales	Siphoviridae	unassigned	unassigned
MF766046.1	Caudovirales	Siphoviridae	Arquatrovirinae	Arequatrovirus
MH513971.1	Caudovirales	Siphoviridae	unassigned	Fromanvirus
KJ936628.1	Caudovirales	Podoviridae	unassigned	unassigned
MK335533.1	Caudovirales	Siphoviridae	Tunavirinae	Tunavirus
MK524524.1	Caudovirales	Siphoviridae	Arquatrovirinae	Arequatrovirus
KT160311.1	Caudovirales	Myoviridae	unassigned	unassigned
MH051911.1	Caudovirales	Siphoviridae	Tunavirinae	Tunavirus
MK359312.1	Caudovirales	Siphoviridae	unassigned	Fromanvirus
MK524530.1	Caudovirales	Siphoviridae	unassigned	Fromanvirus
MF431726.1	Caudovirales	Podoviridae	unassigned	unassigned
KY694971.1	Caudovirales	Siphoviridae	Tunavirinae	Tlsvirus
KP836356.2	Caudovirales	Siphoviridae	unassigned	unassigned
MG592392.1	Caudovirales	Myoviridae	unassigned	unassigned
MG962370.1	Caudovirales	Siphoviridae	unassigned	Fromanvirus
AM076770.1	Caudovirales	Myoviridae	unassigned	unassigned
MF472895.1	Caudovirales	Siphoviridae	unassigned	Fromanvirus
MF472893.1	Caudovirales	Siphoviridae	unassigned	Fromanvirus
MG592547.1	Caudovirales	Myoviridae	unassigned	unassigned
MH576974.1	Caudovirales	Siphoviridae	unassigned	Fromanvirus
MK814757.1	Caudovirales	Siphoviridae	unassigned	unassigned
MK359304.1	Caudovirales	Siphoviridae	unassigned	Fromanvirus
MK291445.1	Caudovirales	Myoviridae	unassigned	unassigned
MH248947.1	Caudovirales	Siphoviridae	Arquatrovirinae	Camvirus
MH051918.1	Caudovirales	Siphoviridae	Tunavirinae	Sertoctavirus
KJ608189.1	Caudovirales	Siphoviridae	unassigned	unassigned
MK511012.1	Caudovirales	Siphoviridae	unassigned	unassigned
MG793454.2	Caudovirales	Siphoviridae	unassigned	Fromanvirus
MK798143.1	Caudovirales	Myoviridae	unassigned	unassigned
KC348603.1	Caudovirales	Siphoviridae	unassigned	unassigned
MH020241.1	Caudovirales	Siphoviridae	unassigned	unassigned
MK759918.1	Caudovirales	Siphoviridae	unassigned	unassigned
MK798144.1	Caudovirales	Myoviridae	unassigned	unassigned
MK778457.1	Caudovirales	Siphoviridae	Tunavirinae	unassigned
