Accession No.	Order	Family	Subfamily	Genus
KP137438.1	Caudovirales	Myoviridae	Peduovirinae	Peduovirus
KY705268.1	Caudovirales	Siphoviridae	unassigned	Brussowvirus
NC_020481.1	Caudovirales	Podoviridae	unassigned	unassigned
NC_013645.1	Caudovirales	Siphoviridae	unassigned	Moineauvirus
MH937498.1	Caudovirales	Siphoviridae	unassigned	Brussowvirus
KC821611.1	Caudovirales	Siphoviridae	unassigned	unassigned
AF085222.2	Caudovirales	Siphoviridae	unassigned	Moineauvirus
KP282680.1	unassigned	unassigned	unassigned	unassigned
KJ847052.1	Caudovirales	Siphoviridae	unassigned	unassigned
JQ807234.2	unassigned	unassigned	unassigned	unassigned
AY007505.3	Caudovirales	Siphoviridae	unassigned	unassigned
DQ340064.2	Caudovirales	Myoviridae	unassigned	Svunavirus
EF455602.1	Caudovirales	Siphoviridae	unassigned	unassigned
MK448728.1	Caudovirales	Siphoviridae	unassigned	unassigned
KT337342.1	Caudovirales	Siphoviridae	unassigned	unassigned
MK448776.1	Caudovirales	Siphoviridae	unassigned	unassigned
LT996081.1	unassigned	unassigned	unassigned	unassigned
KX456206.1	Caudovirales	Siphoviridae	unassigned	unassigned
MH937500.1	Caudovirales	Siphoviridae	unassigned	Moineauvirus
MH892351.1	Caudovirales	Siphoviridae	unassigned	Moineauvirus
KR905070.1	Caudovirales	Siphoviridae	unassigned	unassigned
KR905068.1	Caudovirales	Siphoviridae	unassigned	unassigned
NC_022747.1	Caudovirales	Myoviridae	Peduovirinae	Hpunavirus
KF361475.1	Caudovirales	Myoviridae	Peduovirinae	Hpunavirus
MK448767.1	Caudovirales	Siphoviridae	unassigned	unassigned
NC_019488.1	Caudovirales	Myoviridae	Peduovirinae	Peduovirus
MH937472.1	Caudovirales	Siphoviridae	unassigned	Moineauvirus
KT337367.1	Caudovirales	Siphoviridae	unassigned	unassigned
NC_022762.1	Caudovirales	Siphoviridae	unassigned	Cequinquevirus
NC_009542.2	Caudovirales	Myoviridae	Peduovirinae	Hpunavirus
MH892373.1	Caudovirales	Siphoviridae	unassigned	unassigned
NC_027368.1	Caudovirales	Myoviridae	Peduovirinae	Hpunavirus
NC_027396.1	Caudovirales	Siphoviridae	unassigned	unassigned
NC_028766.1	Caudovirales	Myoviridae	unassigned	unassigned
NC_031101.1	Caudovirales	Siphoviridae	unassigned	unassigned
AJ748296.1	Ligamenvirales	Rudiviridae	unassigned	Rudivirus
KF322032.1	Caudovirales	Myoviridae	Peduovirinae	Peduovirus
NC_017978.1	Caudovirales	Siphoviridae	unassigned	unassigned
HG796225.1	Caudovirales	Myoviridae	unassigned	unassigned
NC_018270.1	Caudovirales	Podoviridae	Picovirinae	unassigned
AF063097.1	Caudovirales	Myoviridae	Peduovirinae	Peduovirus
JQ809663.1	Caudovirales	Myoviridae	Peduovirinae	Peduovirus
KC348598.1	Caudovirales	Siphoviridae	unassigned	unassigned
KT630645.2	Caudovirales	Myoviridae	Peduovirinae	Peduovirus
AY082070.1	Caudovirales	Siphoviridae	unassigned	unassigned
KR060090.1	Caudovirales	Siphoviridae	unassigned	unassigned
KY744234.1	Ligamenvirales	Rudiviridae	unassigned	Rudivirus
MK448807.1	Caudovirales	Siphoviridae	unassigned	unassigned
MK416009.1	Caudovirales	Myoviridae	Peduovirinae	Peduovirus
MK433580.1	Caudovirales	Myoviridae	Peduovirinae	Peduovirus
NC_021070.1	Caudovirales	Myoviridae	unassigned	unassigned
LN681540.1	Caudovirales	Myoviridae	unassigned	unassigned
KX077889.1	Caudovirales	Siphoviridae	unassigned	unassigned
NC_031907.1	Caudovirales	Siphoviridae	unassigned	unassigned
JQ740790.1	Caudovirales	Siphoviridae	unassigned	Skunavirus
MH939157.1	Caudovirales	Myoviridae	unassigned	unassigned
NC_031094.1	Caudovirales	Siphoviridae	unassigned	unassigned
KU678390.1	Caudovirales	Siphoviridae	unassigned	unassigned
KX456212.1	Caudovirales	Siphoviridae	unassigned	unassigned
KX346248.1	Caudovirales	Siphoviridae	unassigned	Skunavirus
KX379673.1	Caudovirales	Siphoviridae	unassigned	Skunavirus
GU936715.1	Caudovirales	Siphoviridae	unassigned	unassigned
KJ564037.1	Caudovirales	Siphoviridae	unassigned	Cequinquevirus
NC_029047.1	Caudovirales	Siphoviridae	unassigned	unassigned
GU323708.1	Caudovirales	Siphoviridae	unassigned	unassigned
NC_028951.1	Caudovirales	Myoviridae	unassigned	unassigned
NC_025415.1	Caudovirales	Siphoviridae	unassigned	Cequinquevirus
KY744230.1	Ligamenvirales	Rudiviridae	unassigned	Rudivirus
NC_005056.1	Caudovirales	Myoviridae	Peduovirinae	Peduovirus
NC_028896.1	Caudovirales	Myoviridae	Peduovirinae	Peduovirus
KU678392.1	Caudovirales	Siphoviridae	unassigned	unassigned
KT887559.1	Caudovirales	Myoviridae	Peduovirinae	Hpunavirus
JQ740802.1	Caudovirales	Siphoviridae	unassigned	Skunavirus
MF448559.1	Caudovirales	Siphoviridae	unassigned	Skunavirus
KX456211.1	Caudovirales	Siphoviridae	unassigned	unassigned
KC182552.1	Caudovirales	Siphoviridae	unassigned	Skunavirus
NC_001697.1	Caudovirales	Myoviridae	Peduovirinae	Hpunavirus
KC182542.1	Caudovirales	Siphoviridae	unassigned	Skunavirus
HM461982.1	Caudovirales	Myoviridae	Peduovirinae	Peduovirus
NC_021471.1	unassigned	unassigned	unassigned	unassigned
NC_013155.1	Caudovirales	Siphoviridae	unassigned	Skunavirus
KM091442.1	Caudovirales	Siphoviridae	unassigned	Skunavirus
KP793129.1	Caudovirales	Siphoviridae	unassigned	Skunavirus
NC_019449.1	Caudovirales	Siphoviridae	unassigned	Cequinquevirus
NC_009884.1	Ligamenvirales	Lipothrixviridae	unassigned	Deltalipothrixvirus
NC_018269.1	Caudovirales	Siphoviridae	unassigned	unassigned
AF009630.1	Caudovirales	Siphoviridae	unassigned	Skunavirus
NC_029068.1	Caudovirales	Siphoviridae	unassigned	unassigned
NC_019422.1	Caudovirales	Myoviridae	unassigned	unassigned
MG592670.1	Caudovirales	Myoviridae	unassigned	unassigned
MG592513.1	Caudovirales	Myoviridae	unassigned	unassigned
NC_003315.1	Caudovirales	Myoviridae	Peduovirinae	Hpunavirus
KP793123.1	Caudovirales	Siphoviridae	unassigned	Skunavirus
KT809302.1	unassigned	Sphaerolipoviridae	unassigned	Alphasphaerolipovirus
NC_012756.1	Caudovirales	Siphoviridae	unassigned	unassigned
KX119200.1	Caudovirales	Podoviridae	unassigned	Schmidvirus
KC311669.1	Caudovirales	Podoviridae	Autographivirinae	Friunavirus
NC_012884.1	Caudovirales	Siphoviridae	unassigned	unassigned
KC182546.1	Caudovirales	Siphoviridae	unassigned	Skunavirus
NC_022989.1	Caudovirales	Siphoviridae	unassigned	Cequinquevirus
NC_029030.1	Caudovirales	Siphoviridae	unassigned	unassigned
MK448894.1	Caudovirales	Siphoviridae	unassigned	unassigned
MF775698.1	Caudovirales	Siphoviridae	unassigned	Skunavirus
MF775688.1	Caudovirales	Siphoviridae	unassigned	Skunavirus
NC_021861.1	Caudovirales	Siphoviridae	unassigned	unassigned
NC_007217.1	unassigned	Sphaerolipoviridae	unassigned	Alphasphaerolipovirus
KC182548.1	Caudovirales	Siphoviridae	unassigned	Skunavirus
MH992513.1	Caudovirales	Podoviridae	Autographivirinae	unassigned
NC_004745.1	Caudovirales	Myoviridae	Peduovirinae	Peduovirus
DQ386162.1	Caudovirales	Siphoviridae	unassigned	unassigned
NC_005340.1	Caudovirales	Myoviridae	Peduovirinae	Peduovirus
MK301437.1	Caudovirales	Siphoviridae	unassigned	Skunavirus
JN968479.1	unassigned	Sphaerolipoviridae	unassigned	Alphasphaerolipovirus
NC_008370.1	Caudovirales	Siphoviridae	unassigned	Skunavirus
NC_008193.1	Caudovirales	Myoviridae	Peduovirinae	Hpunavirus
KX119174.1	Caudovirales	Podoviridae	unassigned	Schmidvirus
HM480106.1	Caudovirales	Siphoviridae	unassigned	unassigned
MG253648.1	Caudovirales	Siphoviridae	unassigned	Skunavirus
MF775705.1	Caudovirales	Siphoviridae	unassigned	Skunavirus
KY888143.2	Caudovirales	Siphoviridae	unassigned	Skunavirus
KP793112.1	Caudovirales	Siphoviridae	unassigned	Skunavirus
KY926793.1	Caudovirales	Siphoviridae	unassigned	Pahexavirus
KJ578790.1	Caudovirales	Siphoviridae	unassigned	Pahexavirus
KR902986.1	Caudovirales	Siphoviridae	unassigned	Pahexavirus
MG820639.1	Caudovirales	Siphoviridae	unassigned	Pahexavirus
KP282675.1	Ligamenvirales	Rudiviridae	unassigned	Rudivirus
NC_027401.1	Caudovirales	Siphoviridae	unassigned	Pahexavirus
KC139521.1	Caudovirales	Myoviridae	Peduovirinae	Peduovirus
DQ431235.1	Caudovirales	Siphoviridae	unassigned	Pahexavirus
NC_029003.2	Caudovirales	Myoviridae	Peduovirinae	Peduovirus
JX262216.1	Caudovirales	Siphoviridae	unassigned	Pahexavirus
KR337643.1	Caudovirales	Siphoviridae	unassigned	Pahexavirus
NC_021852.1	Caudovirales	Siphoviridae	unassigned	Skunavirus
NC_018840.1	Caudovirales	Siphoviridae	unassigned	Pahexavirus
KR337648.1	Caudovirales	Siphoviridae	unassigned	Pahexavirus
JX262217.1	Caudovirales	Siphoviridae	unassigned	Pahexavirus
HQ110084.1	Caudovirales	Myoviridae	Peduovirinae	Peduovirus
KR337650.1	Caudovirales	Siphoviridae	unassigned	Pahexavirus
NC_018851.1	Caudovirales	Siphoviridae	unassigned	Pahexavirus
NC_022338.1	Caudovirales	Siphoviridae	unassigned	Pahexavirus
JX570711.1	Caudovirales	Siphoviridae	unassigned	Pahexavirus
MG820632.1	Caudovirales	Siphoviridae	unassigned	Pahexavirus
GQ451696.1	Caudovirales	Siphoviridae	Mccleskeyvirinae	Unaquatrovirus
NC_018852.1	Caudovirales	Siphoviridae	unassigned	Pahexavirus
NC_027630.1	Caudovirales	Siphoviridae	unassigned	Pahexavirus
NC_018838.1	Caudovirales	Siphoviridae	unassigned	Pahexavirus
KJ578758.1	Caudovirales	Siphoviridae	unassigned	Pahexavirus
KJ578759.1	Caudovirales	Siphoviridae	unassigned	Pahexavirus
NC_027389.1	Caudovirales	Siphoviridae	unassigned	Pahexavirus
NC_041955.1	Caudovirales	Siphoviridae	unassigned	Pahexavirus
NC_022337.1	Caudovirales	Siphoviridae	unassigned	Pahexavirus
NC_022340.1	Caudovirales	Siphoviridae	unassigned	Pahexavirus
KR337646.1	Caudovirales	Siphoviridae	unassigned	Pahexavirus
NC_027625.1	Caudovirales	Siphoviridae	unassigned	Pahexavirus
FJ848883.1	Caudovirales	Siphoviridae	unassigned	Skunavirus
NC_027361.1	Caudovirales	Siphoviridae	unassigned	Pahexavirus
KJ578792.1	Caudovirales	Siphoviridae	unassigned	Pahexavirus
KR337647.1	Caudovirales	Siphoviridae	unassigned	Pahexavirus
KJ578788.1	Caudovirales	Siphoviridae	unassigned	Pahexavirus
KJ578763.1	Caudovirales	Siphoviridae	unassigned	Pahexavirus
KJ578767.1	Caudovirales	Siphoviridae	unassigned	Pahexavirus
NC_027391.1	Caudovirales	Siphoviridae	unassigned	Pahexavirus
NC_028694.1	Caudovirales	Siphoviridae	unassigned	Pahexavirus
KJ578777.1	Caudovirales	Siphoviridae	unassigned	Pahexavirus
KX119191.1	Caudovirales	Podoviridae	unassigned	Schmidvirus
KJ578766.1	Caudovirales	Siphoviridae	unassigned	Pahexavirus
NC_018845.1	Caudovirales	Siphoviridae	unassigned	Pahexavirus
NC_018842.1	Caudovirales	Siphoviridae	unassigned	Pahexavirus
KR337644.1	Caudovirales	Siphoviridae	unassigned	Pahexavirus
NC_031119.1	Caudovirales	Siphoviridae	unassigned	Pahexavirus
KR337649.1	Caudovirales	Siphoviridae	unassigned	Pahexavirus
KR347355.1	Caudovirales	Siphoviridae	unassigned	Pahexavirus
KR337652.1	Caudovirales	Siphoviridae	unassigned	Pahexavirus
NC_027346.1	Caudovirales	Siphoviridae	unassigned	Pahexavirus
NC_027354.1	Caudovirales	Siphoviridae	unassigned	Pahexavirus
MG820640.1	Caudovirales	Siphoviridae	unassigned	Pahexavirus
JX570714.1	Caudovirales	Siphoviridae	unassigned	Pahexavirus
KJ578762.1	Caudovirales	Siphoviridae	unassigned	Pahexavirus
KJ578773.1	Caudovirales	Siphoviridae	unassigned	Pahexavirus
NC_031003.1	Caudovirales	Siphoviridae	unassigned	Pahexavirus
NC_031084.1	Caudovirales	Siphoviridae	unassigned	Pahexavirus
NC_027386.1	Caudovirales	Siphoviridae	unassigned	Pahexavirus
NC_028943.1	Caudovirales	Myoviridae	Peduovirinae	Peduovirus
JX262215.1	Caudovirales	Siphoviridae	unassigned	Pahexavirus
JX262219.1	Caudovirales	Siphoviridae	unassigned	Pahexavirus
NC_022341.1	Caudovirales	Siphoviridae	unassigned	Pahexavirus
NC_022342.1	Caudovirales	Siphoviridae	unassigned	Pahexavirus
MG820645.1	Caudovirales	Siphoviridae	unassigned	Pahexavirus
NC_015454.1	Caudovirales	Siphoviridae	unassigned	Pahexavirus
KP793109.1	Caudovirales	Siphoviridae	unassigned	Skunavirus
NC_015453.1	Caudovirales	Siphoviridae	unassigned	Pahexavirus
KJ578780.1	Caudovirales	Siphoviridae	unassigned	Pahexavirus
KP793133.1	Caudovirales	Siphoviridae	unassigned	Skunavirus
MK570055.1	unassigned	Fuselloviridae	unassigned	Alphafusellovirus
NC_027377.1	Caudovirales	Siphoviridae	Mccleskeyvirinae	Unaquatrovirus
NC_027629.1	Caudovirales	Siphoviridae	unassigned	Pahexavirus
NC_021804.1	Caudovirales	Siphoviridae	unassigned	unassigned
NC_021854.1	Caudovirales	Siphoviridae	unassigned	Skunavirus
DQ054536.1	Caudovirales	Siphoviridae	unassigned	Skunavirus
NC_027358.1	Caudovirales	Siphoviridae	Mccleskeyvirinae	Unaquatrovirus
NC_028787.1	unassigned	Ampullaviridae	unassigned	Ampullavirus
KF676640.1	Caudovirales	Siphoviridae	unassigned	Skunavirus
NC_005872.1	unassigned	Globuloviridae	unassigned	Globulovirus
NC_024389.1	Caudovirales	Siphoviridae	Mccleskeyvirinae	Unaquatrovirus
KC013025.1	Caudovirales	Siphoviridae	Mccleskeyvirinae	Limdunavirus
NC_028900.1	Caudovirales	Siphoviridae	unassigned	Skunavirus
NC_025375.1	Ligamenvirales	Rudiviridae	unassigned	Rudivirus
KC252997.1	unassigned	Sphaerolipoviridae	unassigned	Alphasphaerolipovirus
NC_041831.1	Caudovirales	Myoviridae	Eucampyvirinae	Firehammervirus
KY554760.1	Caudovirales	Siphoviridae	unassigned	Skunavirus
JX944686.1	Ligamenvirales	Rudiviridae	unassigned	Rudivirus
MK448712.1	Caudovirales	Siphoviridae	unassigned	Moineauvirus
KC685370.1	Caudovirales	Podoviridae	Picovirinae	unassigned
NC_019512.1	Caudovirales	Podoviridae	unassigned	Schmidvirus
KC013021.1	Caudovirales	Siphoviridae	Mccleskeyvirinae	Limdunavirus
DQ490056.1	Caudovirales	Siphoviridae	unassigned	unassigned
NC_031015.1	Caudovirales	Podoviridae	Picovirinae	unassigned
AB731695.1	Caudovirales	Podoviridae	unassigned	Schmidvirus
NC_019928.1	Caudovirales	Podoviridae	unassigned	Schmidvirus
JQ659259.1	Caudovirales	Siphoviridae	Mccleskeyvirinae	Limdunavirus
NC_001902.1	Caudovirales	Siphoviridae	unassigned	unassigned
MF156578.1	Caudovirales	Podoviridae	Picovirinae	unassigned
KX349899.1	Caudovirales	Podoviridae	Picovirinae	unassigned
NC_020870.1	Caudovirales	Siphoviridae	Mccleskeyvirinae	Limdunavirus
KX119198.1	Caudovirales	Podoviridae	unassigned	Schmidvirus
KR093635.1	Caudovirales	Siphoviridae	unassigned	unassigned
KT339177.1	Caudovirales	Siphoviridae	unassigned	unassigned
NC_009965.1	Ligamenvirales	Rudiviridae	unassigned	Rudivirus
JF734911.1	Caudovirales	Podoviridae	unassigned	Schmidvirus
HM246724.1	Caudovirales	Myoviridae	Eucampyvirinae	Firehammervirus
LT985571.1	unassigned	unassigned	unassigned	unassigned
LT985582.1	unassigned	unassigned	unassigned	unassigned
NC_031032.1	Caudovirales	Podoviridae	Picovirinae	unassigned
FJ870917.1	unassigned	Fuselloviridae	unassigned	Betafusellovirus
JF344709.1	Caudovirales	Myoviridae	unassigned	unassigned
NC_009452.1	unassigned	Ampullaviridae	unassigned	Ampullavirus
KF594187.1	Caudovirales	Siphoviridae	unassigned	unassigned
AY583235.1	unassigned	unassigned	unassigned	unassigned
KX373686.1	Caudovirales	Siphoviridae	unassigned	Ceduovirus
KX373685.1	Caudovirales	Siphoviridae	unassigned	Ceduovirus
KP282673.1	unassigned	Ampullaviridae	unassigned	Ampullavirus
KX373687.1	Caudovirales	Siphoviridae	unassigned	Ceduovirus
NC_001629.1	Caudovirales	Siphoviridae	unassigned	Ceduovirus
NC_031044.1	Caudovirales	Siphoviridae	unassigned	Ceduovirus
L48605.1	Caudovirales	Siphoviridae	unassigned	Ceduovirus
MF443121.1	Caudovirales	Siphoviridae	unassigned	Ceduovirus
MG592533.1	Caudovirales	Myoviridae	unassigned	unassigned
MK301442.1	Caudovirales	Siphoviridae	unassigned	Ceduovirus
NC_031002.1	Caudovirales	Siphoviridae	unassigned	Ceduovirus
JF917095.1	unassigned	unassigned	unassigned	unassigned
NC_002649.1	Caudovirales	Podoviridae	Picovirinae	Salasvirus
NC_012419.1	Caudovirales	Siphoviridae	unassigned	Efquatrovirus
CP017905.1	unassigned	Inoviridae	unassigned	unassigned
NC_006556.1	unassigned	Globuloviridae	unassigned	Globulovirus
NC_005830.1	Ligamenvirales	Lipothrixviridae	unassigned	Gammalipothrixvirus
LK392619.1	Caudovirales	Podoviridae	Picovirinae	Cepunavirus
MK448335.1	unassigned	unassigned	unassigned	unassigned
NC_004462.2	unassigned	Sphaerolipoviridae	unassigned	Gammasphaerolipovirus
NC_028651.1	unassigned	unassigned	unassigned	unassigned
KJ617393.1	Caudovirales	Podoviridae	Picovirinae	Cepunavirus
NC_011048.1	Caudovirales	Podoviridae	Picovirinae	Salasvirus
JN800508.1	Caudovirales	Podoviridae	Picovirinae	unassigned
NC_024149.1	Caudovirales	Podoviridae	Picovirinae	Negarvirus
NC_005964.2	unassigned	unassigned	unassigned	unassigned
NC_010363.1	Caudovirales	Podoviridae	Picovirinae	unassigned
KT932700.2	Caudovirales	Podoviridae	Picovirinae	unassigned
X99260.1	Caudovirales	Podoviridae	Picovirinae	Salasvirus
KT780304.1	Caudovirales	Podoviridae	Picovirinae	unassigned
MH972263.1	Caudovirales	Podoviridae	Picovirinae	Rosenblumvirus
NC_017980.1	Caudovirales	Podoviridae	Picovirinae	unassigned
MK721197.1	Caudovirales	Podoviridae	Picovirinae	unassigned
AF513033.1	Caudovirales	Podoviridae	Picovirinae	Rosenblumvirus
NC_036595.1	unassigned	unassigned	unassigned	unassigned
MK054206.1	unassigned	Fuselloviridae	unassigned	Alphafusellovirus
AB626963.1	Caudovirales	Podoviridae	Picovirinae	Rosenblumvirus
NC_009597.1	unassigned	unassigned	unassigned	unassigned
NC_018084.1	Caudovirales	Podoviridae	Picovirinae	unassigned
KY000084.1	Caudovirales	Podoviridae	Picovirinae	Rosenblumvirus
JQ309827.1	Caudovirales	Podoviridae	Picovirinae	unassigned
NC_009875.1	Caudovirales	Podoviridae	Picovirinae	Rosenblumvirus
EU136189.1	Caudovirales	Podoviridae	Picovirinae	Rosenblumvirus
KJ210330.1	Caudovirales	Podoviridae	Picovirinae	Rosenblumvirus
KU992911.1	Caudovirales	Podoviridae	Picovirinae	Rosenblumvirus
KR053197.1	Caudovirales	Siphoviridae	unassigned	unassigned
NC_029548.1	unassigned	Tristromaviridae	unassigned	Alphatristromavirus
GU722197.1	unassigned	unassigned	unassigned	unassigned
KM366100.1	Caudovirales	Podoviridae	Picovirinae	Rosenblumvirus
NC_013588.1	unassigned	Fuselloviridae	unassigned	Alphafusellovirus
KR053198.1	Caudovirales	Siphoviridae	unassigned	unassigned
MH371124.1	Caudovirales	Siphoviridae	unassigned	unassigned
MK801730.1	Caudovirales	Siphoviridae	unassigned	unassigned
NC_005361.1	unassigned	Fuselloviridae	unassigned	Alphafusellovirus
DQ123818.2	Caudovirales	Podoviridae	Picovirinae	unassigned
KU998255.1	Caudovirales	Siphoviridae	unassigned	unassigned
NC_013197.1	unassigned	Sphaerolipoviridae	unassigned	Gammasphaerolipovirus
GU815339.1	Caudovirales	Siphoviridae	unassigned	Efquatrovirus
MF417951.1	Caudovirales	unassigned	unassigned	unassigned
AY212251.1	Caudovirales	Podoviridae	Picovirinae	Rosenblumvirus
MG159787.1	unassigned	Tectiviridae	unassigned	Gammatectivirus
NC_005360.1	unassigned	Fuselloviridae	unassigned	Alphafusellovirus
MK448475.1	unassigned	unassigned	unassigned	unassigned
MK054228.1	unassigned	Fuselloviridae	unassigned	Alphafusellovirus
AY048850.1	unassigned	Sphaerolipoviridae	unassigned	Betasphaerolipovirus
MK448469.1	unassigned	unassigned	unassigned	unassigned
AF191797.1	unassigned	Pleolipoviridae	unassigned	Gammapleolipovirus
MK448630.1	unassigned	unassigned	unassigned	unassigned
MK054230.1	unassigned	Fuselloviridae	unassigned	Alphafusellovirus
LT985572.1	unassigned	unassigned	unassigned	unassigned
NC_013587.1	unassigned	Fuselloviridae	unassigned	Betafusellovirus
MF140429.1	Caudovirales	Siphoviridae	unassigned	Decurrovirus
AF074945.1	unassigned	unassigned	unassigned	unassigned
KU160667.1	Caudovirales	Siphoviridae	unassigned	Decurrovirus
KT355475.1	Caudovirales	Siphoviridae	unassigned	Decurrovirus
AY954948.1	unassigned	unassigned	unassigned	unassigned
NC_001338.1	unassigned	Fuselloviridae	unassigned	Alphafusellovirus
MK448615.1	unassigned	unassigned	unassigned	unassigned
NC_011217.1	unassigned	Fuselloviridae	unassigned	Alphafusellovirus
NC_002671.1	Caudovirales	Siphoviridae	unassigned	unassigned
EU030938.1	unassigned	Fuselloviridae	unassigned	Alphafusellovirus
CP013282.1	unassigned	Tectiviridae	unassigned	Betatectivirus
AF323671.1	Caudovirales	Siphoviridae	unassigned	unassigned
NC_007451.1	unassigned	Tectiviridae	unassigned	Alphatectivirus
AY441783.1	unassigned	Tectiviridae	unassigned	Alphatectivirus
MH834628.1	Caudovirales	Siphoviridae	unassigned	unassigned
KC618393.1	unassigned	Fuselloviridae	unassigned	unassigned
NC_006945.1	unassigned	Tectiviridae	unassigned	Betatectivirus
MK448392.1	unassigned	unassigned	unassigned	unassigned
NC_005265.1	unassigned	Fuselloviridae	unassigned	Alphafusellovirus
NC_041832.1	Caudovirales	Myoviridae	Eucampyvirinae	Firehammervirus
MK448472.1	unassigned	unassigned	unassigned	unassigned
MK448397.1	unassigned	unassigned	unassigned	unassigned
NC_002670.1	Caudovirales	Siphoviridae	unassigned	unassigned
GU943020.1	Caudovirales	Podoviridae	unassigned	unassigned
EU408779.1	unassigned	Tectiviridae	unassigned	Betatectivirus
MK448322.1	unassigned	unassigned	unassigned	unassigned
KF188458.1	unassigned	Tectiviridae	unassigned	Betatectivirus
MK448501.1	unassigned	unassigned	unassigned	unassigned
NC_016651.1	Caudovirales	Siphoviridae	unassigned	unassigned
HE580237.1	unassigned	Guttaviridae	unassigned	Betaguttavirus
MK448352.1	unassigned	unassigned	unassigned	unassigned
NC_038931.1	unassigned	Tristromaviridae	unassigned	Alphatristromavirus
MK448512.1	unassigned	unassigned	unassigned	unassigned
MK448653.1	unassigned	unassigned	unassigned	unassigned
MK448489.1	unassigned	unassigned	unassigned	unassigned
MK448611.1	unassigned	unassigned	unassigned	unassigned
MK448476.1	unassigned	unassigned	unassigned	unassigned
MK448494.1	unassigned	unassigned	unassigned	unassigned
MK448468.1	unassigned	unassigned	unassigned	unassigned
MK448514.1	unassigned	unassigned	unassigned	unassigned
MK448431.1	unassigned	unassigned	unassigned	unassigned
MK448636.1	unassigned	unassigned	unassigned	unassigned
MK448618.1	unassigned	unassigned	unassigned	unassigned
MK448438.1	unassigned	unassigned	unassigned	unassigned
MK448533.1	unassigned	unassigned	unassigned	unassigned
MK448440.1	unassigned	unassigned	unassigned	unassigned
MK448328.1	unassigned	unassigned	unassigned	unassigned
MK448333.1	unassigned	unassigned	unassigned	unassigned
MK448451.1	unassigned	unassigned	unassigned	unassigned
MK448425.1	unassigned	unassigned	unassigned	unassigned
MK448577.1	unassigned	unassigned	unassigned	unassigned
L13696.1	unassigned	Plasmaviridae	unassigned	Plasmavirus
MK054216.1	unassigned	Fuselloviridae	unassigned	Alphafusellovirus
MK448531.1	unassigned	unassigned	unassigned	unassigned
NC_021793.1	unassigned	unassigned	unassigned	unassigned
AF246223.1	Caudovirales	Podoviridae	Picovirinae	unassigned
X51522.1	Caudovirales	unassigned	unassigned	unassigned
MK054217.1	unassigned	Fuselloviridae	unassigned	Alphafusellovirus
MK448513.1	unassigned	unassigned	unassigned	unassigned
MK448569.1	unassigned	unassigned	unassigned	unassigned
MK448550.1	unassigned	unassigned	unassigned	unassigned
MK448536.1	unassigned	unassigned	unassigned	unassigned
MK448644.1	unassigned	unassigned	unassigned	unassigned
MK448602.1	unassigned	unassigned	unassigned	unassigned
JN882264.1	unassigned	Pleolipoviridae	unassigned	Alphapleolipovirus
MK448318.1	unassigned	unassigned	unassigned	unassigned
MK448535.1	unassigned	unassigned	unassigned	unassigned
MG966533.1	unassigned	Corticoviridae	unassigned	Corticovirus
MK448358.1	unassigned	unassigned	unassigned	unassigned
NC_000867.1	unassigned	Corticoviridae	unassigned	Corticovirus
MK448337.1	unassigned	unassigned	unassigned	unassigned
MK448593.1	unassigned	unassigned	unassigned	unassigned
MF443783.1	unassigned	unassigned	unassigned	unassigned
JN882267.1	unassigned	Pleolipoviridae	unassigned	Betapleolipovirus
MK448372.1	unassigned	unassigned	unassigned	unassigned
MK448605.1	unassigned	unassigned	unassigned	unassigned
MK448527.1	unassigned	unassigned	unassigned	unassigned
AB259123.2	unassigned	Inoviridae	unassigned	Habenivirus
NC_002362.1	unassigned	Inoviridae	unassigned	unassigned
AB043678.1	unassigned	Inoviridae	unassigned	unassigned
NC_017088.1	unassigned	Pleolipoviridae	unassigned	Betapleolipovirus
MK448361.1	unassigned	unassigned	unassigned	unassigned
NC_001956.1	unassigned	Inoviridae	unassigned	Saetivirus
MK448460.1	unassigned	unassigned	unassigned	unassigned
AB828698.1	unassigned	Inoviridae	unassigned	unassigned
NC_021862.1	unassigned	Inoviridae	unassigned	unassigned
JN882266.1	unassigned	Pleolipoviridae	unassigned	Alphapleolipovirus
NC_023586.1	unassigned	Inoviridae	unassigned	unassigned
U02303.1	unassigned	Inoviridae	unassigned	unassigned
MK448597.1	unassigned	unassigned	unassigned	unassigned
MK448499.1	unassigned	unassigned	unassigned	unassigned
NC_001365.1	unassigned	Inoviridae	unassigned	Vespertiliovirus
KF056323.1	unassigned	Pleolipoviridae	unassigned	Alphapleolipovirus
GU321093.1	unassigned	Pleolipoviridae	unassigned	Alphapleolipovirus
MK448568.1	unassigned	unassigned	unassigned	unassigned
KX179905.1	unassigned	Inoviridae	unassigned	Habenivirus
MK448573.1	unassigned	unassigned	unassigned	unassigned
EF506570.1	unassigned	Inoviridae	unassigned	Vespertiliovirus
U28974.1	unassigned	Inoviridae	unassigned	Vespertiliovirus
AB937974.1	unassigned	Inoviridae	unassigned	Habenivirus
AY242528.1	unassigned	Inoviridae	unassigned	Fibrovirus
AB910602.1	unassigned	Inoviridae	unassigned	unassigned
MG945332.1	unassigned	Microviridae	unassigned	unassigned
KX181651.1	unassigned	Inoviridae	unassigned	unassigned
NC_005131.2	unassigned	Inoviridae	unassigned	unassigned
AY714348.1	unassigned	Inoviridae	unassigned	unassigned
